id,category,name,subtitle_tag,description,benefits,price,offer_price,weight_options,weight,image_url,is_popular,order
999122,Wellness Teas,2-In-1 Skin Glow Tea,Radiance & Hydration,"Dual action skin formulation designed to brighten complexion, nourish skin layers, and combat oxidative stress.","Skin Brightening, Deep Hydration, Anti-Aging, Radiance",499.00,349.00,70g (₹349) | 100g (₹499) | 150g (₹749) | 30 Tea Bags (₹499) | 60 Tea Bags (₹980),70g / 100g / 150g / 30-60 Tea Bags,/media/products/2in1_skin_glow_tea.jpeg,False,11
999123,Wellness Teas,Energy Boost Tea,Focus & Daily Vitality,"Revitalizing botanical blend formulated to boost mental focus, sustain natural energy levels, relieve stress, and enhance daily stamina.","Focus & Energy Boost, Stress Relief, Natural Vitality, Daily Stamina",499.00,349.00,70g (₹349) | 100g (₹499) | 150g (₹749) | 30 Tea Bags (₹499) | 60 Tea Bags (₹980),70g / 100g / 150g / 30-60 Tea Bags,/media/products/energy_boost_tea.jpeg,True,12
999124,Flavour & Immunity Teas,Kashmiri Kahwa - Immunity Boost,Saffron & Spices,"Authentic Kashmiri green tea infused with saffron strands, green cardamom, cinnamon, and spices for immune strength, warmth, and skin glow.","Immunity Boost, Saffron Infused, Natural Antioxidants, Warmth & Vitality, Skin Glow",399.00,299.00,20 Tea Bags (₹299 - MRP ₹399) | 100g Loose (₹399),20 Tea Bags / 100g,/media/products/kashmiri_kahwa.jpeg,True,13
999125,Flavour & Immunity Teas,Darjeeling Kadak Tea,Aromatic Indian Spices,"Traditional black tea blend infused with aromatic hand-ground spices for an invigorating, comforting cup of authentic chai.","Immunity Support, Digestive Aid, Rich Spice Flavor, Warm Comfort",199.00,199.00,100g (₹199),100g,/media/products/masala_darjeeling_tea.jpeg,False,14
999126,Flavour & Immunity Teas,Darjeeling Green Tea,Pure Antioxidants,"Unprocessed green tea leaves packed with natural EGCG antioxidants for daily body detox, clean energy, and metabolic support.","Antioxidant Rich, Metabolism Boost, Calorie Burn, Daily Detox",349.00,249.00,100g (₹249 - MRP ₹349),100g,/media/products/darjeeling_green_tea.jpeg,False,15
999127,Flavour & Immunity Teas,Golden Darjeeling Tea,Single Estate Muscadel,"Exquisite single-estate Darjeeling tea known as the champagne of teas, delivering a floral aroma and refined muscatel flavor.","Refined Taste, Heart Health, Gentle Energy, Focus",499.00,399.00,100g (₹399 - MRP ₹499),100g,/static/img/doc_images/image18.png,False,16
999128,Plant Based Protein,Sattu Pre-Mix,Best Plant-Based Protein,"100% natural, chemical-free, gluten-free traditional plant protein superfood drink mix made with roasted gram flour, mint leaves, cumin, coriander, black pepper, saunf, dry mango, chilli, pink salt & black salt. FSSAI Licensed (22824131000442).","Plant Based Protein, 100% Natural, Zero Preservatives & Chemical, Gluten Free, Sustained Energy, Cooling Gut Support",220.00,199.00,250g (₹199 - MRP ₹220) | Combo Offer (₹380),250g,/media/products/sattu_pre_mix.jpeg,True,17
999129,Health Drinks & Detox,Gut Health Drink - Morning Detox,Gut Restoration & Constipation Relief,"Potent morning detox drink mix that heals gut lining, relieves chronic constipation, improves digestion, aids weight management, and reduces systemic inflammation.","Weight Management, Cure Constipation, Improve Digestion, Detoxification, Reduces Inflammation",349.00,250.00,130g (₹250 - MRP ₹349) | 250g (₹480 - MRP ₹670),130g / 250g,/media/products/gut_health_detox_drink.jpeg,True,18
999130,Body Care & Oils,Slimming Oil,Localized Fat Burn & Firming,"100% natural herbal oil blend formulated to stimulate localized blood circulation, reduce cellulite appearance, and firm loose skin tissue.","Localized Fat Burn, Skin Firming, Cellulite Reduction, 100% Natural, Zero Side Effects",350.00,350.00,100ml (₹350) | 300ml (₹999),100ml / 300ml,/media/products/slimming_oil.jpeg,False,19
999131,Combo Offers,Weight Loss Mega Combo,Fat Loss & Detox Kit,"Comprehensive fat burning and detox package combining Fat Cutter Tea, Gut Health Detox Drink, and Slimming Tea for accelerated weight loss results.","Complete Fat Loss Kit, Accelerated Detox, Synergistic Herbal Benefits, Maximum Savings",1400.00,1075.00,Complete Kit (₹1075 - Save ₹325),Combo Pack,/static/img/doc_images/combo_mega.jpg,True,20
999132,Combo Offers,Starter Detox Combo,Gut & Skin Renewal Kit,Perfect starter wellness kit combining Gut Health Detox Drink and Ever Youthful Skin Tea for gut reset and radiant skin glow.,"Gut Reset, Skin Glow, Cellular Detox, Starter Discount",1100.00,825.00,Starter Pack (₹825 - Save ₹275),Combo Pack,/static/img/doc_images/combo_starter.jpg,False,21
999133,Combo Offers,Ultimate Wellness Combo,Total Body Transformation Pack,"Ultimate all-in-one wellness bundle featuring Wellness Tea, Sattu Protein Pre-Mix, Gut Detox Drink, and Slimming Oil for holistic health transform.","Full Body Transformation, Hormonal & Digestive Support, Best Value Package",1800.00,1425.00,Ultimate Kit (₹1425 - Save ₹375),Combo Pack,/static/img/doc_images/combo_ultimate.jpg,True,22
999134,Diet Consultation,45 Days Personalized Diet Plan,By Nutritionist Debasmita (12+ Yrs Exp),"Debasmita’s diet plan heals your gut, detoxifies your cells, and restores your body's natural balance. Her easy-to-follow diet plans revolve around easy eating habits through only home cooked foods. Personalized guidance for Obesity, Weight Gain, Diabetes, Pregnancy, Hypertension, Thyroid, PCOD/PCOS, Pre-wedding diet, Skin & Hair. Includes recipe guidance, daily follow-ups, and workout advice.","100% Home Cooked Food, Gut Healing & Cell Detox, Daily Follow-ups, Disease & Weight Specialist, Lifestyle Guidance",999.00,799.00,45 Days Plan (₹799 - MRP ₹999),45 Days Plan,/static/img/doc_images/diet_plan.png,True,23
